date,asset,S0,VaR_abs,CVaR_abs,VaR_pct,CVaR_pct
2023-07-19,etf,0.844,0.1677224576696604,0.20427902144060162,0.19872329107779668,0.24203675526137633
2023-07-19,gbi,194.1812,-0.11251659693159596,0.06356271835005901,-0.0005794412483370995,0.00032733713845654996
2023-07-19,cea,61.0,22.414454707596686,27.938462101406493,0.3674500771737162,0.45800757543289333
2023-07-20,etf,0.843,0.16703573500924698,0.2014849688630325,0.19814440689115895,0.23900945298105872
2023-07-20,gbi,194.2103,-0.12438333848108565,0.061023428277288475,-0.0006404569607332138,0.0003142131404837358
2023-07-20,cea,61.0,22.507043751982618,28.12546677606671,0.3689679303603708,0.46107322583715915
2023-07-21,etf,0.836,0.16789300916332786,0.2010122028713394,0.20082895832933956,0.2404452187456213
2023-07-21,gbi,194.2773,-0.09934587975188272,0.059610543196758785,-0.0005113612334116375,0.0003068322608804981
2023-07-21,cea,57.97,21.81497240800425,26.940351361269595,0.37631485954811544,0.46472919374279104
2023-07-24,etf,0.824,0.16154177893837374,0.1968342944592147,0.19604584822618173,0.2388765709456489
2023-07-24,gbi,194.4024,-0.12429287367055289,0.044613675949602166,-0.0006393587407899948,0.00022949138462077714
2023-07-24,cea,56.04,19.92495861381475,25.11020131626942,0.35554886891175497,0.4480763975065921
2023-07-25,etf,0.842,0.17266176572904707,0.2067264056837561,0.20506147948817943,0.24551829653652746
2023-07-25,gbi,194.2402,-0.10614696673323493,0.058546281841477255,-0.000546472700981748,0.0003014117666758851
2023-07-25,cea,64.0,24.274901152902935,30.213658167839252,0.37929533051410835,0.4720884088724883
2023-07-26,etf,0.844,0.16804148950425257,0.20095690305151748,0.19910129088181586,0.23810059603260364
2023-07-26,gbi,194.1845,-0.10234096365008026,0.06180530063760341,-0.0005270295190917929,0.00031828132851799916
2023-07-26,cea,63.48,23.619652046930884,29.211583462881475,0.37208021498000765,0.4601698718160283
2023-07-27,etf,0.838,0.16952100476894386,0.2050658714984371,0.20229236845936022,0.24470867720577222
2023-07-27,gbi,194.2793,-0.11882398323694916,0.06448689830551603,-0.0006116142236303567,0.00033192881745773236
2023-07-27,cea,64.0,24.54529355334939,30.258071163532332,0.3835202117710842,0.4727823619301927
2023-07-28,etf,0.846,0.17392310043687637,0.2084121862200236,0.2055828610364969,0.24635010191492154
2023-07-28,gbi,194.3401,-0.11331018385613167,0.05191318184206079,-0.0005830509702121778,0.00026712542518019075
2023-07-28,cea,61.05,22.12385213385552,27.562795434151415,0.3623890603416138,0.45147904069044087
2023-07-31,etf,0.855,0.176477969325443,0.2091722568431966,0.2064069816671848,0.24464591443648726
2023-07-31,gbi,194.3279,-0.12014844342807732,0.04218941634590641,-0.0006182768579708694,0.00021710426730236064
2023-07-31,cea,64.74,23.406798414180777,29.1696802130736,0.36155079416405284,0.4505665772794811
2023-08-01,etf,0.85,0.17259124502330414,0.20692035748958137,0.2030485235568284,0.24343571469362515
2023-08-01,gbi,194.3649,-0.11900051277409658,0.03930332886597517,-0.000612253101121121,0.00020221412850764293
2023-08-01,cea,62.8,23.495229061173806,28.95848851967631,0.37412785129257653,0.46112242865726616
2023-08-02,etf,0.845,0.16415251402867248,0.197582578303097,0.19426333021144673,0.23382553645336923
2023-08-02,gbi,194.446,-0.1247069066310646,0.03804005320041341,-0.0006413446747737912,0.00019563299425245782
2023-08-02,cea,64.97,24.504459789897226,30.079682418311712,0.3771657655825339,0.46297802706344027
2023-08-03,etf,0.858,0.172149914205792,0.2039287502093079,0.20064092564777625,0.23767919604814441
2023-08-03,gbi,194.5432,-0.11905630402232822,0.04895622464619805,-0.0006119787482797046,0.00025164706166135877
2023-08-03,cea,63.75,23.134329150632485,29.2099497181947,0.3628914376569802,0.45819528969717177
2023-08-04,etf,0.864,0.18106352049692725,0.22012061143842288,0.20956425983440655,0.2547692262018783
2023-08-04,gbi,194.5813,-0.12498170258527543,0.040588640992339546,-0.0006423109650581809,0.000208594767289249
2023-08-04,cea,66.0,24.47877532674264,30.562778292273222,0.3708905352536763,0.4630723983677761
2023-08-07,etf,0.859,0.1766495748456581,0.21508828157520124,0.2056456051753878,0.2503938085857989
2023-08-07,gbi,194.6776,-0.10714708456981456,0.06491489869249256,-0.000550382193790218,0.0003334482174245653
2023-08-07,cea,63.96,22.690848160159504,28.974349353274636,0.35476623139711544,0.45300733823131073
2023-08-08,etf,0.855,0.18237059993228902,0.21621649906824628,0.21329894728922694,0.252884794231867
2023-08-08,gbi,194.7435,-0.12226998702785487,0.03571062444147128,-0.0006278514406275684,0.0001833726129060599
2023-08-08,cea,67.0,25.65911437580183,31.48651800521133,0.3829718563552512,0.4699480299285273
2023-08-09,etf,0.852,0.1675823739024504,0.2078576000745832,0.1966929271155521,0.24396431933636528
2023-08-09,gbi,194.7753,-0.1192963275732283,0.0460610211216341,-0.0006124818063339054,0.0002364828657516333
2023-08-09,cea,67.21,25.198692449379077,31.167829768006847,0.37492475002795833,0.4637379819670711
2023-08-10,etf,0.858,0.180683809682834,0.21450032897722618,0.21058719077253382,0.2500003834233405
2023-08-10,gbi,194.8119,-0.10850038600447517,0.06549395499494613,-0.0005569494779552747,0.0003361907306224421
2023-08-10,cea,67.32,24.466216679775535,30.854851269780934,0.36343162031752135,0.45833112403120824
2023-08-11,etf,0.838,0.15862536176043548,0.19665027990573639,0.18929040782868198,0.23466620513811026
2023-08-11,gbi,194.8672,-0.11984521542513991,0.05675580049509216,-0.0006150096856994913,0.00029125373841822614
2023-08-11,cea,67.22,25.191141693624697,31.27467215225873,0.37475664524880536,0.46525843725466726
