date,w_etf,w_gbi,w_cea
2023-07-19,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-07-20,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-07-21,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-07-24,0.0,0.6504052106307311,0.34959478936926885
2023-07-25,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-07-26,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-07-27,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-07-28,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-07-31,0.0,0.5904699907307643,0.4095300092692356
2023-08-01,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-08-02,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-08-03,0.0,0.5217243594333554,0.47827564056664457
2023-08-04,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-08-07,0.0,0.5590851921516461,0.44091480784835396
2023-08-08,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-08-09,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-08-10,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-08-11,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-08-14,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-08-15,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-08-16,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-08-17,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-08-18,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-08-21,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-08-22,0.0,0.2193522242020557,0.7806477757979444
2023-08-23,0.0,0.7703959305359521,0.22960406946404788
2023-08-24,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-08-25,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-08-28,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-08-29,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-08-30,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-08-31,0.0,0.7797292871406372,0.22027071285936278
2023-09-01,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-09-04,0.0,0.32256055769949904,0.6774394423005009
2023-09-05,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-09-06,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-09-07,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-09-08,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-09-11,0.3333333333333333,0.3333333333333333,0.3333333333333333
