date,achieved_expected_H_return,target_H_return
2023-07-19,-0.012058401993129353,0.0061267111243066275
2023-07-20,-0.01196761107564544,0.0061267111243066275
2023-07-21,-0.018862208259187677,0.0061267111243066275
2023-07-24,0.0061267111243066275,0.0061267111243066275
2023-07-25,-0.023994941636735063,0.0061267111243066275
2023-07-26,-0.014663662231180685,0.0061267111243066275
2023-07-27,-0.02039398906609898,0.0061267111243066275
2023-07-28,-0.016484283210306146,0.0061267111243066275
2023-07-31,0.0061267111243066275,0.0061267111243066275
2023-08-01,-0.016992737470206756,0.0061267111243066275
2023-08-02,-0.011754131571200718,0.0061267111243066275
2023-08-03,0.0061267111243066275,0.0061267111243066275
2023-08-04,-0.025309413586842577,0.0061267111243066275
2023-08-07,0.0061267111243066275,0.0061267111243066275
2023-08-08,-0.029188522229558585,0.0061267111243066275
2023-08-09,-0.011287475162534108,0.0061267111243066275
2023-08-10,-0.022518136908517856,0.0061267111243066275
2023-08-11,-0.007370941339967186,0.0061267111243066275
2023-08-14,-0.016620909554925047,0.0061267111243066275
2023-08-15,-0.008731697508772451,0.0061267111243066275
2023-08-16,-0.00875020110604822,0.0061267111243066275
2023-08-17,-0.007747914260421355,0.0061267111243066275
2023-08-18,-0.01126188041104422,0.0061267111243066275
2023-08-21,-0.007711107428804876,0.0061267111243066275
2023-08-22,0.006126711124306628,0.0061267111243066275
2023-08-23,0.0061267111243066275,0.0061267111243066275
2023-08-24,-0.01722779880236628,0.0061267111243066275
2023-08-25,-0.014687121437942558,0.0061267111243066275
2023-08-28,-0.017621197394463696,0.0061267111243066275
2023-08-29,-0.02142481595157334,0.0061267111243066275
2023-08-30,-0.016944094727556053,0.0061267111243066275
2023-08-31,0.0061267111243066275,0.0061267111243066275
2023-09-01,-0.012830063782818738,0.0061267111243066275
2023-09-04,0.0061267111243066275,0.0061267111243066275
2023-09-05,-0.016590576526791707,0.0061267111243066275
2023-09-06,-0.028382459816438756,0.0061267111243066275
2023-09-07,-0.015600183591598238,0.0061267111243066275
2023-09-08,-0.0284730093913,0.0061267111243066275
2023-09-11,-0.026999257468432677,0.0061267111243066275
2023-09-12,-0.009903637234765617,0.0061267111243066275
2023-09-13,-0.017170719138163964,0.0061267111243066275
2023-09-14,0.006126711124306628,0.0061267111243066275
2023-09-15,0.0061267111243066275,0.0061267111243066275
2023-09-18,-0.023845184776073444,0.0061267111243066275
2023-09-19,-0.016731799110129196,0.0061267111243066275
2023-09-20,-0.007235020344332581,0.0061267111243066275
2023-09-21,-0.013570330724763288,0.0061267111243066275
2023-09-22,-0.013822710533799649,0.0061267111243066275
2023-09-25,-0.014730603417637395,0.0061267111243066275
2023-09-26,-0.02010987572359146,0.0061267111243066275
2023-09-27,-0.025377052679113717,0.0061267111243066275
2023-09-28,0.006126711124306628,0.0061267111243066275
2023-10-09,0.0061267111243066275,0.0061267111243066275
2023-10-10,-0.01642718417102669,0.0061267111243066275
2023-10-11,0.0061267111243066275,0.0061267111243066275
2023-10-12,-0.0256474617374323,0.0061267111243066275
2023-10-13,-0.02261543896477921,0.0061267111243066275
2023-10-16,-0.012628136457663438,0.0061267111243066275
2023-10-17,0.0061267111243066275,0.0061267111243066275
2023-10-18,0.0061267111243066275,0.0061267111243066275
2023-10-19,-0.02412192353502155,0.0061267111243066275
2023-10-20,-0.02500640666313166,0.0061267111243066275
2023-10-23,-0.028409569268232345,0.0061267111243066275
2023-10-24,-0.013629311580663384,0.0061267111243066275
2023-10-25,0.0061267111243066275,0.0061267111243066275
2023-10-26,-0.00931831305141521,0.0061267111243066275
2023-10-27,0.0061267111243066275,0.0061267111243066275
2023-10-30,-0.013453087931870129,0.0061267111243066275
2023-10-31,-0.01829456949696162,0.0061267111243066275
2023-11-01,-0.02099377487196234,0.0061267111243066275
2023-11-02,-0.01641978791590522,0.0061267111243066275
2023-11-03,-0.01674776849384041,0.0061267111243066275
2023-11-06,-0.010693496178633799,0.0061267111243066275
2023-11-07,-0.011646176972204565,0.0061267111243066275
2023-11-08,-0.01600020742614209,0.0061267111243066275
2023-11-09,-0.013956345485529376,0.0061267111243066275
2023-11-10,-0.01682971391505428,0.0061267111243066275
2023-11-13,-0.015454922020628741,0.0061267111243066275
2023-11-14,-0.014723120577009974,0.0061267111243066275
2023-11-15,-0.01441049171377451,0.0061267111243066275
2023-11-16,-0.015688853000720017,0.0061267111243066275
2023-11-17,-0.01113547017847194,0.0061267111243066275
2023-11-20,-0.011889851269128782,0.0061267111243066275
2023-11-21,-0.014862558002452396,0.0061267111243066275
2023-11-22,-0.014821657100823246,0.0061267111243066275
2023-11-23,-0.024653781536256004,0.0061267111243066275
2023-11-24,-0.012669702606908029,0.0061267111243066275
2023-11-27,0.006126711124306629,0.0061267111243066275
2023-11-28,-0.015755366870126908,0.0061267111243066275
2023-11-29,-0.014874499363205949,0.0061267111243066275
2023-11-30,-0.011474474959832707,0.0061267111243066275
2023-12-01,-0.01454881672982311,0.0061267111243066275
2023-12-04,-0.013168491915981018,0.0061267111243066275
2023-12-05,-0.01696448852013447,0.0061267111243066275
2023-12-06,-0.007191461283917603,0.0061267111243066275
2023-12-07,-0.020797479109121178,0.0061267111243066275
2023-12-08,-0.0074817729056590645,0.0061267111243066275
2023-12-11,0.006126711124306629,0.0061267111243066275
2023-12-12,-0.017169488150806617,0.0061267111243066275
2023-12-13,-0.010460172728410082,0.0061267111243066275
2023-12-14,-0.021983073233589313,0.0061267111243066275
2023-12-15,0.0061267111243066275,0.0061267111243066275
2023-12-18,-0.013015714247917845,0.0061267111243066275
