date,VaR_portfolio_H_return,CVaR_portfolio_H_return
2023-07-24,0.12222120431967524,0.15418345681976192
2023-07-31,0.14557662093373516,0.1822281799907324
2023-08-03,0.17102115845107055,0.21703761391243495
2023-08-07,0.1542942990116078,0.19758168880388652
2023-08-22,0.2854146767715678,0.36146329457959325
2023-08-23,0.0814529258009606,0.10270007131742197
2023-08-31,0.07753616546263872,0.09862907247675685
2023-09-04,0.24726761866355304,0.3089776976768578
2023-09-14,0.08351750939009894,0.10479453073469883
2023-09-15,0.12941997223394835,0.16181544875402956
2023-09-28,0.2804931775798676,0.3495857364589409
2023-10-09,0.17802600661337645,0.22415161590383317
2023-10-11,0.15099959176040126,0.1889673862271463
2023-10-17,0.05213165625276779,0.06521888246870838
2023-10-18,0.19129945056174238,0.23942111679450856
2023-10-25,0.08750955233790952,0.109765765297298
2023-10-27,0.15569494742659865,0.19929210695899247
2023-11-27,0.26913884750335937,0.33975158342664147
2023-12-11,0.05689161544471223,0.07221078307430057
2023-12-15,0.23234423513891084,0.288833142707299
2023-12-20,0.07081957981370339,0.08937521989104256
2023-12-28,0.24274571718269414,0.30273204595431685
2024-01-17,0.13451282040881604,0.16860113464554516
2024-01-24,0.11797580661759581,0.14948887642750197
2024-02-06,0.3588811735204384,0.4507878149890298
2024-02-07,0.16247511831500244,0.2042377260562681
2024-02-26,0.04483753272612724,0.05612088386750291
2024-03-01,0.3137946529314093,0.39301934117225923
2024-03-04,0.10007532964809339,0.1264728355537314
2024-03-13,0.3460827215920636,0.4315511008641316
2024-03-20,0.07881624184392104,0.09891827024699239
2024-03-21,0.1576642069770087,0.19900342889609585
2024-03-22,0.2696062186657106,0.3381727969437955
2024-04-02,0.31038313360342024,0.39053610074877443
2024-04-09,0.08910045541203498,0.1114935418813861
2024-04-10,0.09687545487624455,0.1224679045983265
2024-04-11,0.25628913491872957,0.3232303358633105
2024-04-15,0.23947992130798954,0.3011798877454234
2024-04-30,0.31384624840676795,0.3877630833347852
2024-05-14,0.16539120576979552,0.20934542586116012
2024-05-21,0.04892672484331128,0.06272858705023908
2024-06-12,0.17442564447788808,0.21802229568102355
2024-06-17,0.32628153430694795,0.4085869593891668
2024-06-18,0.06632401720392504,0.08495065422584501
2024-06-20,0.24739113649646233,0.3115750208396029
2024-06-24,0.21589403047452116,0.2705991745458116
2024-06-27,0.1022077161294933,0.12854024222054367
2024-07-01,0.14760211666376238,0.18327693552984659
2024-07-04,0.07665693713579044,0.09743741438484838
2024-07-12,0.1047132646268095,0.1292816109923275
2024-07-17,0.3343967787780866,0.4211293638805283
2024-07-30,0.15566024865279193,0.19666331166742643
2024-08-06,0.15100449644983094,0.19047222944159392
2024-08-13,0.13137972797312916,0.1658908466797484
2024-08-15,0.2221093945218466,0.28180037586494716
2024-08-19,0.06654910565181858,0.0829858081098867
2024-08-21,0.10140727346136827,0.12852129033009838
2024-08-23,0.06876191667951036,0.08715412042942054
2024-08-27,0.07697642536320305,0.09723233433977399
2024-08-29,0.062002014034213536,0.08040329566850571
2024-08-30,0.19273818707145732,0.24386515299629316
