,Total Return,Annualized Return,Annualized Log Volatility,Annualized Simple Volatility,Sharpe Ratio (Simple Returns),Max Drawdown,Final Net Value
CVaR_Optimized,1.1123115631589449,0.6055567229567027,0.5224807642126745,0.5703580656544923,1.0569852287718453,-0.1916148576466645,2.112311563158945
Equal_Weight,0.4947315127700418,0.28981507145689345,0.49947913273005506,0.5441846993629352,0.6815746136269004,-0.16773811992856322,1.4947315127700418
BuyHold_ETF,1.3210900473933744,0.7042906902769168,0.9771307358541845,1.787728801579013,0.6858955994628229,-0.42476851851851677,2.3210900473933744
BuyHold_GBI,0.09982737772759598,0.0620996798666158,0.01610660375101839,0.016105150956507823,2.8248923043784515,-0.02030202891059129,1.099827377727596
BuyHold_CEA,0.30819672131147624,0.18542311773920073,1.1514257679231164,1.1581802059205102,0.7051760321750021,-0.3023809523809524,1.3081967213114762
