date,St_etf,St_gbi,St_cea,j,fu,jm,r_etf,r_gbi,r_cea,r_j,r_fu,r_jm,lag1_r_j,lag3_r_j,lag5_r_j,roll_mean5_r_j,lag1_r_fu,lag3_r_fu,lag5_r_fu,roll_mean5_r_fu,lag1_r_jm,lag3_r_jm,lag5_r_jm,roll_mean5_r_jm
2021-07-19,1.207,176.988774,52.3,2662.5,2546.0,2040.5,-0.0172488876095561,0.0006719971593305,0.0206710731197663,-0.0113902827939183,-0.003528723520453,0.0026990569691649,,,,,,,,,,,,
2021-07-20,1.224,177.083665,53.28,2738.0,2450.0,2074.0,0.0139862419747398,0.0005359976762934,0.0185646551612566,0.0279621958307136,-0.0384354755785791,0.0162842339436122,-0.0113902827939183,,,,-0.003528723520453,,,,0.0026990569691649,,,
2021-07-21,1.284,177.219375,53.7,2736.0,2445.0,2090.0,0.0478560211776351,0.0007660674130083,0.0078519752826853,-0.000730727105953,-0.0020429016298002,0.0076849561693841,0.0279621958307136,,,,-0.0384354755785791,,,,0.0162842339436122,,,
2021-07-22,1.307,177.32902,55.52,2737.5,2524.0,2085.0,0.0177542293743154,0.0006185051464998,0.03333031468373,0.0005480953823151,0.0317998217521313,-0.0023952107259548,-0.000730727105953,-0.0113902827939183,,,-0.0020429016298002,-0.003528723520453,,,0.0076849561693841,0.0026990569691649,,
2021-07-23,1.297,177.413559,56.97,2769.5,2578.0,2115.5,-0.007680529307778,0.0004766216778298,0.0257814972937549,0.0116217033484022,0.0211689598380289,0.0145223359272203,0.0005480953823151,0.0279621958307136,,,0.0317998217521313,-0.0384354755785791,,,-0.0023952107259548,0.0162842339436122,,
2021-07-26,1.29,177.56567,54.46,2867.5,2578.0,2153.5,-0.005411686960726,0.0008570135764767,-0.0450583262466906,0.0347737715303671,0.0,0.0178032343340431,0.0116217033484022,-0.000730727105953,-0.0113902827939183,0.005602196932311921,0.0211689598380289,-0.0020429016298002,-0.003528723520453,0.0017923361722655816,0.0145223359272203,0.0076849561693841,0.0026990569691649,0.00775907445668534
2021-07-27,1.209,177.590358,54.63,2863.0,2600.0,2135.0,-0.0648486467409251,0.0001390262199899,0.0031166951620127,-0.0015705439054107,0.0084975405104407,-0.0086277788314403,0.0347737715303671,0.0005480953823151,0.0279621958307136,0.014835007797169,0.0,0.0317998217521313,-0.0384354755785791,0.0024980808763561814,0.0178032343340431,-0.0023952107259548,0.0162842339436122,0.01077990992966098
2021-07-28,1.204,177.557396,52.5,2951.0,2628.0,2199.0,-0.0041442247460264,-0.0001856241506437,-0.0397700128100482,0.0302740698448242,0.0107116555949278,0.0295360648920362,-0.0015705439054107,0.0116217033484022,-0.000730727105953,0.008928459849944139,0.0084975405104407,0.0211689598380289,-0.0020429016298002,0.011884684094160141,-0.0086277788314403,0.0145223359272203,0.0076849561693841,0.00579750737465048
2021-07-29,1.291,177.606841,52.96,2969.0,2629.0,2256.0,0.0697677649778761,0.0002784345672699,0.0087237420311746,0.0060810998208204,0.00038044512538,0.0255906220631883,0.0302740698448242,0.0347737715303671,0.0005480953823151,0.01512941924009958,0.0107116555949278,0.0,0.0317998217521313,0.014435595539105742,0.0295360648920362,0.0178032343340431,-0.0023952107259548,0.0101677291191809
2021-07-30,1.309,177.757415,54.17,2943.0,2627.0,2317.0,0.0138463750632574,0.0008474347460043,0.0225903380410547,-0.008795726530287,-0.0007610350443413,0.0266799118144267,0.0060810998208204,-0.0015705439054107,0.0116217033484022,0.016236020127800642,0.00038044512538,0.0084975405104407,0.0211689598380289,0.008151720213755482,0.0255906220631883,-0.0086277788314403,0.0145223359272203,0.01576489567700952
2021-08-02,1.317,178.059524,51.99,2900.0,2616.0,2289.0,0.006092935833381,0.0016981151793712,-0.041075857274183,-0.0147187322589073,-0.0041960771084504,-0.0121582044798095,-0.008795726530287,0.0302740698448242,0.0347737715303671,0.0121525341520628,-0.0007610350443413,0.0107116555949278,0.0,0.0037657212372814407,0.0266799118144267,0.0295360648920362,0.0178032343340431,0.0181964108544508
2021-08-03,1.26,178.100843,53.44,2820.5,2548.0,2222.0,-0.0442447017977573,0.0002320246945689,0.0275081368327658,-0.0277965627945346,-0.0263376958850353,-0.0297073497529914,-0.0147187322589073,0.0060810998208204,-0.0015705439054107,0.00225403339420792,-0.0041960771084504,0.00038044512538,0.0084975405104407,0.0029265058155913603,-0.0121582044798095,0.0255906220631883,-0.0086277788314403,0.01220412309168028
2021-08-04,1.347,178.113909,58.7,2953.0,2546.0,2313.5,0.0667681764648402,7.336024088010097e-05,0.0938801976056605,0.0459074285638919,-0.000785237574702,0.0403538381474788,-0.0277965627945346,-0.008795726530287,0.0302740698448242,-0.00299117038361686,-0.0263376958850353,-0.0007610350443413,0.0107116555949278,-0.004040541463503839,-0.0297073497529914,0.0266799118144267,0.0295360648920362,0.00798820890737006
2021-08-05,1.353,178.160553,54.9,2944.5,2468.0,2325.5,0.0044444517604239,0.000261843074604,-0.0669263783185658,-0.0028825793592972,-0.0311153940920734,0.0051735403170973,0.0459074285638919,-0.0147187322589073,0.0060810998208204,0.0001355013601966798,-0.000785237574702,-0.0041960771084504,0.00038044512538,-0.006339920097429799,0.0403538381474788,-0.0121582044798095,0.0255906220631883,0.010151763558458581
